cement_kg_m3,blast_furnace_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,age_days,compressive_strength_mpa
324.83570765056163,141.98066309758008,36.496434500512365,141.8438488424522,3.273012790070132,957.6240317977297,710.873491341353,28,61.871225796269435
293.0867849414408,127.73901048738307,47.10962658568965,162.79229978440998,4.937593022121832,954.6585891616146,749.5255333009768,3,18.159156115431937
332.3844269050346,101.78891109760522,34.15160158000077,171.72788933156713,5.036033744088893,820.4356827369985,724.6351853140604,3,12.855301565855072
376.15149282040124,80.59189666883279,43.84076940721919,217.7537531468038,5.945260691686811,966.9909808298563,756.1603345007089,90,80.0
288.2923312638332,120.9466994084077,12.12770666092429,191.13106249067516,2.266283273438347,1073.2829081821744,782.8679751431049,3,19.959015602295988
288.293152152541,111.80456156265248,54.265874147458774,153.29036861800216,6.185134547694661,872.5767880923205,866.9723589065107,56,52.575600325889276
378.9606407753696,126.85579660083197,50.02410950724448,189.72072578835275,-0.40878326320555036,1104.8482651050592,774.3072769035438,28,70.45523287069268
338.37173645764545,119.05515405045908,33.658227378636184,149.0539202212327,3.7402308952723793,1048.7774821084338,673.1499434584326,3,20.02748954178615
276.5262807032524,131.48658145958007,63.1849133686481,201.65382107774147,4.023452315096911,926.5766678028962,891.2054277196128,7,21.760766729865267
327.1280021792982,83.94294365318297,68.75140275253116,170.57750696364243,6.266653652142477,985.8470362662152,733.0327893107968,56,62.37728376348044
276.8291153593769,139.52182196902976,17.848802712620518,178.12727622521658,5.045261705353738,1159.8321807641032,795.3023658316297,90,51.02286698855221
276.71351232148714,105.92798814077199,34.745504428675716,206.5159329508438,2.1888738922874267,1073.3547813505866,835.7229205552569,14,27.575700749566707
312.0981135783017,162.25782617875797,34.617153004254035,154.256728628315,3.0300137483659695,1000.8783654898148,815.9688334722226,28,49.10189400963753
204.3359877671101,79.32436545731296,31.201937977822706,152.05763629774017,5.397360019094814,976.2316683039015,887.5343638017181,28,28.869359352234383
213.75410837434836,152.0789140949575,66.58949683863497,168.3280134730799,4.841865316270887,1007.6609070451659,838.3202514714208,7,10.0
271.88562353795135,105.93732350387944,46.12347722454393,200.76757702038634,3.841751780728507,948.8236442057696,731.0952336242314,14,35.62822895919519
249.35844398327882,80.45745989156654,44.70970317378779,149.61307849046315,4.038332420976041,789.5250494280986,974.284973919333,14,35.29728716711294
315.71236662976366,85.48342497837035,9.92275271186493,123.35688803778862,6.392335994318578,1204.217791053473,815.5466770670587,90,79.29950174829828
254.59879622393944,90.3895807541704,62.70836060418453,170.97682283182002,3.964614854261571,1015.5324999199402,788.2127818702795,90,46.533613972904604
229.38481493323542,112.7249783920575,25.21483210293055,191.03481599821842,4.823817511941853,1039.8147265122536,877.1140338444457,56,38.25029728197937
373.2824384460777,115.68506464106498,51.198652605326565,204.00523499477657,9.339873176161085,994.2092250123092,819.9560756744057,28,66.62445606003459
288.71118497567323,82.78899988184263,55.547538759163835,170.73677275829203,2.152634726232154,926.4883199275412,831.9382554351462,3,23.321899915039765
